Mean Accuracy: 0.903223, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.903223, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.883092, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.903223, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.895142, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.906213, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.904213, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.898163, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.897147, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.900162, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.896147, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.904213, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.883016, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.888062, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.888056, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.892087, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.885016, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.893092, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.885026, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.886031, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.872930, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.877971, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.869936, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.880996, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.863865, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.870915, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.865900, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.871930, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
Mean Accuracy: 0.781285, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.781285, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.714781, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.781285, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.748048, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.774250, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.810512, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.829633, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.793335, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.818537, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.795335, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.813482, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.792310, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.801376, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.789259, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.804391, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.781199, Parameters: {'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.802381, Parameters: {'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.783214, Parameters: {'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.797330, Parameters: {'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.779174, Parameters: {'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.796320, Parameters: {'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.780184, Parameters: {'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.799340, Parameters: {'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.783194, Parameters: {'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.804360, Parameters: {'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.787239, Parameters: {'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.801345, Parameters: {'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}
