Mean Accuracy: 0.928394, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.956632, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.955616, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.960652, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.954617, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.958647, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.919319, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.945556, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.956627, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.954606, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.956637, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.957632, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.912268, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.959657, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.952601, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.960662, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.955632, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.957632, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.928415, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.951591, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.946556, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.957627, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.960657, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.920334, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.953591, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.948581, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.956647, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.955627, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.957637, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.945541, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.949571, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.955632, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.953601, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.959657, Parameters: {'max_depth': 50, 'n_estimators': 250}
